subchain_name,branch_name,city,branch_id,chain_id,subchain_id
אקספרס,ראול ולנברג,,327,7290027600007,7
אקספרס,אנטוורפן,חיפה,373,7290027600007,7
אקספרס,"רמב""ם",חיפה,387,7290027600007,7
אקספרס,מרגנית,נשר,368,7290027600007,7
דיל,אדמירליטי,חיפה,258,7290027600007,2
דיל,קרית אליעזר,חיפה,312,7290027600007,2
דיל,קניון חיפה,חיפה,352,7290027600007,2
דיל,גרנד קניןון,חיפה,359,7290027600007,2
דיל אקסטרא,תל חנן,נשר,71,7290027600007,4
ויקטורי,צ'ק פוסט,חיפה,63,7290696200003,1
יש,חניתה,חיפה,306,7290027600007,5
מחסני השוק,תל חנן,נשר,51,7290661400001,1
מחסני להב,רמז,חיפה,60,7290058179503,1
מחסני להב,חיפה,חיפה,30,7290058179503,1
שלי,כרמל,חיפה,4,7290027600007,1
שלי,חורב,חיפה,17,7290027600007,1
שלי,זיו,חיפה,19,7290027600007,1
שלי,סטלה,חיפה,33,7290027600007,1
שלי,דניה,חיפה,38,7290027600007,1
שלי,ורדיה,חיפה,212,7290027600007,1
שלי,קלר,חיפה,302,7290027600007,1
שלי,צרפת,חיפה,314,7290027600007,1
שלי,נתיב חן,חיפה,330,7290027600007,1
שלי,רמות ספיר,חיפה,336,7290027600007,1
